exit_date,cumulative_pnl
2025-08-04,-366650.0
2025-08-05,-343000.0
2025-08-06,-349010.0
2025-08-07,-358140.0
2025-08-08,-377290.0
2025-08-11,-373860.0
2025-08-12,-380850.0
2025-08-13,-396570.0
2025-08-14,-396550.0
2025-08-18,-400010.0
2025-08-19,-383340.0
2025-08-21,-388500.0
2025-08-22,-394610.0
2025-08-25,-404720.0
2025-08-26,-431720.0
2025-08-28,-449800.0
2025-08-29,-471320.0
2025-09-01,-470070.0
2025-09-02,-478010.0
2025-09-03,-385460.0
2025-09-04,-395820.0
2025-09-05,-403390.0
2025-09-08,-405850.0
2025-09-09,-411240.0
2025-09-10,-425280.0
2025-09-11,-438750.0
2025-09-12,-445030.0
2025-09-15,-450870.0
2025-09-16,-446320.0
2025-09-17,-459070.0
2025-09-18,-446420.0
2025-09-19,-464370.0
2025-09-22,-463150.0
2025-09-23,-467030.0
2025-09-24,-445040.0
2025-09-25,-449710.0
2025-09-26,-445380.0
2025-09-29,-473810.0
2025-09-30,-425680.0
2025-10-01,-436870.0
2025-10-03,-440980.0
2025-10-06,-445220.0
2025-10-07,-452500.0
2025-10-08,-467750.0
2025-10-09,-483660.0
2025-10-10,-492980.0
2025-10-13,-505590.0
2025-10-14,-532440.0
2025-10-15,-548680.0
2025-10-16,-554430.0
2025-10-17,-537800.0
2025-10-20,-468430.0
2025-10-21,-461570.0
2025-10-23,-467010.0
2025-10-24,-381490.0
2025-10-27,-404900.0
2025-10-28,-413810.0
2025-10-29,-426110.0
2025-10-30,-424020.0
2025-10-31,-430650.0
2025-11-03,-403290.0
2025-11-04,-409890.0
2025-11-06,-423860.0
2025-11-07,-423380.0
2025-11-10,-419330.0
2025-11-11,-430710.0
2025-11-12,-438110.0
2025-11-13,-450010.0
2025-11-14,-453330.0
2025-11-17,-449470.0
2025-11-18,-453650.0
2025-11-19,-466050.0
2025-11-20,-478090.0
2025-11-21,-471550.0
2025-11-24,-509310.0
2025-11-25,-501120.0
2025-11-26,-507170.0
2025-11-27,-497360.0
2025-11-28,-485510.0
2025-12-01,-502500.0
2025-12-02,-518660.0
2025-12-03,-547080.0
2025-12-04,-519050.0
2025-12-05,-514560.0
2025-12-08,-520310.0
2025-12-09,-473030.0
2025-12-10,-468600.0
2025-12-11,-477690.0
2025-12-12,-468080.0
2025-12-15,-469210.0
2025-12-16,-481820.0
2025-12-17,-501830.0
2025-12-18,-507950.0
2025-12-19,-512040.0
2025-12-22,-511190.0
2025-12-23,-512720.0
2025-12-26,-524990.0
2025-12-29,-517760.0
2025-12-30,-511090.0
2025-12-31,-511150.0
2026-01-01,-516150.0
2026-01-02,-523930.0
2026-01-05,-521510.0
2026-01-06,-521680.0
2026-01-07,-519160.0
2026-01-08,-546680.0
2026-01-09,-545520.0
2026-01-12,-560520.0
2026-01-13,-549220.0
2026-01-14,-532430.0
2026-01-16,-549840.0
2026-01-19,-552020.0
2026-01-20,-587810.0
2026-01-21,-621270.0
2026-01-22,-620590.0
2026-01-23,-639670.0
2026-01-27,-651640.0
2026-01-28,-659000.0
2026-01-29,-659220.0
2026-01-30,-672570.0
2026-02-02,-759900.0
2026-02-03,-698370.0
2026-02-04,-714610.0
2026-02-05,-739630.0
2026-02-06,-679790.0
2026-02-09,-691330.0
2026-02-10,-700010.0
2026-02-11,-698010.0
2026-02-12,-718010.0
2026-02-13,-751190.0
2026-02-16,-757040.0
2026-02-17,-756420.0
2026-02-18,-759820.0
2026-02-19,-774210.0
2026-02-20,-812650.0
2026-02-23,-828960.0
2026-02-24,-850070.0
2026-02-25,-858970.0
2026-02-26,-857100.0
2026-02-27,-867760.0
2026-03-02,-979440.0
2026-03-04,-1003690.0
2026-03-05,-973080.0
2026-03-06,-964360.0
2026-03-09,-982880.0
2026-03-10,-957410.0
2026-03-11,-949190.0
2026-03-12,-981060.0
2026-03-13,-989390.0
2026-03-16,-1023120.0
2026-03-17,-1027050.0
2026-03-18,-1027910.0
2026-03-19,-1037380.0
2026-03-20,-1041680.0
2026-03-23,-1103960.0
2026-03-24,-1094920.0
2026-03-25,-1093840.0
2026-03-27,-1101540.0
2026-03-30,-1133760.0
2026-04-01,-1129310.0
2026-04-02,-1140060.0
2026-04-06,-1134730.0
2026-04-07,-1140380.0
2026-04-08,-1140730.0
2026-04-09,-1146130.0
2026-04-10,-1137120.0
2026-04-13,-1143050.0
2026-04-15,-1140240.0
2026-04-16,-1129030.0
2026-04-17,-1127860.0
2026-04-20,-1138000.0
2026-04-21,-1139250.0
2026-04-22,-1142740.0
2026-04-23,-1144360.0
2026-04-24,-1176960.0
2026-04-27,-1169920.0
2026-04-28,-1170200.0
2026-04-29,-1173920.0
2026-04-30,-1176970.0
2026-05-04,-1148320.0
2026-05-05,-1127430.0
2026-05-06,-1125310.0
2026-05-07,-1125310.0
2026-05-08,-1142150.0
2026-05-11,-1167920.0
2026-05-12,-1227790.0
2026-05-13,-1175730.0
2026-05-14,-1189010.0
2026-05-15,-1212510.0
2026-05-18,-1239090.0
2026-05-19,-1185680.0
2026-05-20,-1172210.0
2026-05-21,-1153600.0
2026-05-22,-1186950.0
2026-05-25,-1197420.0
2026-05-26,-1216620.0
2026-05-27,-1223650.0
2026-05-29,-1210110.0
2026-06-01,-1233780.0
2026-06-02,-1272300.0
2026-06-03,-1275140.0
2026-06-04,-1278650.0
2026-06-05,-1244630.0
2026-06-08,-1264270.0
2026-06-09,-1262270.0
2026-06-10,-1289550.0
2026-06-11,-1257170.0
2026-06-12,-959700.0
2026-06-15,-956920.0
2026-06-16,-959800.0
2026-06-17,-970400.0
2026-06-18,-972110.0
2026-06-19,-975820.0
2026-06-22,-985820.0
2026-06-23,-912040.0
2026-06-24,-906290.0
2026-06-25,-932130.0
2026-06-29,-897750.0
2026-06-30,-891310.0
2026-07-01,-895520.0
2026-07-02,-895730.0
2026-07-03,-894060.0
2026-07-06,-900400.0
2026-07-07,-905400.0
2026-07-08,-816670.0
2026-07-09,-699750.0
2026-07-10,-699440.0
2026-07-13,-704440.0
2026-07-14,-705460.0
2026-07-15,-673430.0
2026-07-16,-685890.0
2026-07-17,-705950.0
2026-07-20,-679670.0
2026-07-21,-684760.0
2026-07-22,-693280.0
2026-07-23,-721030.0
2026-07-24,-601610.0
2026-07-27,-581070.0
2026-07-28,-582500.0
2026-07-29,-565490.0
2026-07-30,-566030.0
2026-07-31,-522750.0
2026-08-03,-524110.0
2026-08-04,-511780.0
2026-08-05,-516710.0
2026-08-06,-517370.0
2026-08-07,-527250.0
2026-08-10,-547140.0
2026-08-11,-536650.0
2026-08-12,-562030.0
2026-08-13,-30790.0
