Rank,Ticker,Sector,Industry,Relative Strength,Percentile,1M_RS_Percentile,3M_RS_Percentile,6M_RS_Percentile,Price,MarketCap,PctFrom52WkHigh,AvgVol10,AvgVol30,AvgVol50
1025,BPCL,Energy,Oil & Gas Refining & Marketing,98.63,48,43,23,90,318.5,1325142172593.3115,-18.68,4863278,6408696,7224823
1026,JINDALSTEL,Basic Materials,Steel,98.62,48,48,84,89,1125.0,1053914220554.636,-13.87,1181069,1206943,1214697
1027,INDIACEM,Basic Materials,Building Materials,98.61,48,45,69,92,392.35,126128634962.0,-19.24,175040,327142,285210
1028,IEX,Financial Services,Capital Markets,98.6,48,17,39,27,126.3,110557502405.80234,-21.2,6698153,6431792,5895691
1029,SAMHI,Consumer Cyclical,Lodging,98.56,48,40,17,47,169.8,39464458011.2417,-27.72,1301647,912809,1011741
1030,ONWARDTEC,Technology,Information Technology Services,98.55,48,57,48,80,284.75,6374887643.280304,-20.24,108995,319532,426935
1031,IMAGICAA,Communication Services,Entertainment,98.52,47,30,14,29,49.1,26403095030.676395,-25.03,900857,830061,1066416
1032,GUJTHEM,Healthcare,Drug Manufacturers - Specialty & Generic,98.46,47,70,74,45,367.55,39353133162.0,-23.27,104126,84498,116305
1033,NBIFIN,Financial Services,Capital Markets,98.45,47,59,33,23,2152.9,6549425025.0,-28.02,1805,4770,2993
1034,RKSWAMY,Communication Services,Advertising Agencies,98.44,47,37,3,6,106.41,5116878058.809883,-37.04,51800,87022,67374
1035,SHK,Basic Materials,Specialty Chemicals,98.41,47,5,6,39,170.89,19468884815.79648,-37.97,2605930,1303702,949871
1036,MMTC,Industrials,Conglomerates,98.39,47,53,61,68,63.95,92280000686.64551,-18.38,1319307,1953730,8679266
1037,ABBOTINDIA,Healthcare,Drug Manufacturers - Specialty & Generic,98.37,47,43,55,41,27535.0,595086702510.0,-22.02,5951,11872,10401
1038,PRIMO,Basic Materials,Chemicals,98.36,47,51,56,34,23.96,5413947571.778641,-21.44,256827,160233,248690
1039,PRINCEPIPE,Industrials,Building Products & Equipment,98.36,47,45,43,40,271.95,28884084527.480957,-24.04,329816,211127,314307
1040,KFINTECH,Technology,Software - Application,98.35,47,26,12,43,928.5,148258909536.25,-23.58,1964917,1376667,1228204
1041,MAXHEALTH,Healthcare,Medical Care Facilities,98.3,47,59,50,58,1069.0,1051492613396.4347,-17.88,1510351,1639805,2016204
1042,POLICYBZR,Financial Services,Insurance Brokers,98.29,47,45,65,41,1630.0,710250942913.7554,-17.43,1069863,2401185,2101747
1043,CHAMBLFERT,Basic Materials,Agricultural Inputs,98.27,47,41,38,42,445.55,172681140007.0,-23.27,485497,432882,665738
